,area,rooms,bathroom,parking spaces,floor,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),total (R$),city_Campinas,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo,animal_not acept,furniture_not furnished
0,4.248495242049359,0.6931471805599453,0.0,1,1.6094379124341003,7.632885505395133,8.101677747454572,5.351858133476067,3.7376696182833684,5618,0,0,0,1,0,0
1,5.768320995793772,1.3862943611198906,1.3862943611198906,0,1.6094379124341003,7.090076835776092,8.509161019718974,7.4673710669175595,4.143134726391533,7973,0,0,0,1,0,1
2,4.382026634673881,0.0,0.0,1,1.6094379124341003,6.907755278982137,7.937374696163295,4.8283137373023015,3.713572066704308,3841,0,1,0,0,0,1
3,3.9318256327243257,0.6931471805599453,0.0,0,1.6094379124341003,5.598421958998375,7.013915474810528,3.091042453358316,2.833213344056216,1421,0,1,0,0,0,1
4,3.2188758248682006,0.0,0.0,0,1.6094379124341003,6.327936783729195,6.684611727667927,3.2188758248682006,2.3978952727983707,836,0,0,0,1,1,1
5,5.929589143389895,1.0986122886681098,1.0986122886681098,7,1.6094379124341003,6.327936783729195,8.987196820661973,6.726233402358747,4.795790545596741,8955,0,0,0,1,0,1
6,4.276666119016055,0.6931471805599453,0.0,0,1.6094379124341003,6.606650186198215,7.549609165154532,4.442651256490317,3.2188758248682006,2750,0,0,1,0,0,1
7,5.3612921657094255,1.3862943611198906,1.3862943611198906,4,1.6094379124341003,7.720461694599722,8.078067881815437,7.45876269238096,3.713572066704308,7253,0,0,0,1,0,1
8,5.0238805208462765,0.6931471805599453,0.6931471805599453,1,1.6094379124341003,6.907755278982137,9.615805480084347,5.521460917862246,5.25227342804663,16440,0,0,0,1,0,0
9,3.5553480614894135,0.0,0.0,0,1.6094379124341003,6.380122536899765,7.7406644019172415,3.5553480614894135,3.4011973816621555,2955,0,0,1,0,0,0
10,3.258096538021482,0.0,0.0,0,1.6094379124341003,6.152732694704104,7.649692623711514,5.0106352940962555,3.295836866004329,2747,0,0,0,1,0,0
11,3.828641396489095,0.0,0.0,1,1.6094379124341003,6.309918278226516,6.363028103540465,3.7612001156935624,2.0794415416798357,1181,1,0,0,0,0,1
12,3.58351893845611,0.0,0.0,0,1.6094379124341003,5.883322388488279,7.649692623711514,4.248495242049359,3.295836866004329,2556,0,0,0,1,0,1
13,4.007333185232471,0.0,0.0,1,1.6094379124341003,6.672032945461067,8.34283980427146,5.4116460518550396,3.9889840465642745,5268,0,0,0,1,0,0
14,4.605170185988092,0.6931471805599453,0.6931471805599453,2,1.6094379124341003,6.802394763324311,8.382518288089635,2.833213344056216,4.02535169073515,5343,0,0,0,1,0,0
15,5.799092654460526,1.3862943611198906,1.791759469228055,6,1.6094379124341003,6.522092798170152,8.987196820661973,5.793013608384144,4.795790545596741,9129,1,0,0,0,0,0
16,4.700480365792417,0.6931471805599453,0.6931471805599453,1,1.6094379124341003,6.551080335043404,8.006367567650246,4.804021044733257,3.6635616461296463,3861,0,0,0,1,0,1
17,4.477336814478207,0.6931471805599453,1.0986122886681098,1,1.6094379124341003,7.3864708488298945,8.160518247477505,5.3981627015177525,2.772588722239781,5351,0,0,1,0,1,0
18,4.02535169073515,0.6931471805599453,0.0,0,1.6094379124341003,6.684611727667927,7.106606137727303,4.8283137373023015,2.772588722239781,2036,0,0,1,0,0,1
19,6.396929655216146,1.3862943611198906,1.6094379124341003,6,1.6094379124341003,6.327936783729195,9.392661928770137,9.159047077588632,5.198497031265826,21680,0,0,0,1,0,1
20,4.605170185988092,1.9459101490553132,1.3862943611198906,0,1.6094379124341003,6.327936783729195,8.242756345714477,4.770684624465665,4.060443010546419,3976,0,0,0,1,0,1
21,3.7376696182833684,0.0,0.0,1,1.6094379124341003,6.152732694704104,7.897296472595885,5.147494476813453,3.58351893845611,3368,0,0,0,0,1,0
22,5.075173815233827,1.0986122886681098,0.6931471805599453,2,1.6094379124341003,7.333023014386481,7.549609165154532,5.117993812416755,3.2188758248682006,3622,0,0,0,1,0,0
