,area,rooms,bathroom,parking spaces,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$),city_Campinas,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo,animal_not acept,furniture_not furnished
0,4.248495242049359,0.6931471805599453,0.0,1,7.632885505395132,8.101677747454572,5.351858133476067,3.737669618283368,0,0,0,1,0,0
1,5.768320995793773,1.3862943611198906,1.3862943611198906,0,7.090076835776093,8.509161019718974,7.467371066917559,4.143134726391533,0,0,0,1,0,1
2,4.382026634673881,0.0,0.0,1,6.907755278982138,7.937374696163295,4.8283137373023015,3.7135720667043084,0,1,0,0,0,1
3,3.9318256327243257,0.6931471805599453,0.0,0,5.598421958998375,7.013915474810528,3.0910424533583165,2.8332133440562166,0,1,0,0,0,1
4,3.218875824868201,0.0,0.0,0,6.3279367837291955,6.684611727667928,3.218875824868201,2.3978952727983707,0,0,0,1,1,1
5,5.929589143389895,1.0986122886681098,1.0986122886681098,7,6.3279367837291955,8.987196820661973,6.726233402358747,4.795790545596741,0,0,0,1,0,1
6,4.276666119016055,0.6931471805599453,0.0,0,6.606650186198214,7.549609165154532,4.442651256490317,3.218875824868201,0,0,1,0,0,1
7,5.3612921657094255,1.3862943611198906,1.3862943611198906,4,7.720461694599723,8.078067881815437,7.45876269238096,3.7135720667043084,0,0,0,1,0,1
8,5.0238805208462765,0.6931471805599453,0.6931471805599453,1,6.907755278982138,9.615805480084347,5.521460917862246,5.25227342804663,0,0,0,1,0,0
9,3.555348061489413,0.0,0.0,0,6.380122536899765,7.7406644019172415,3.555348061489413,3.4011973816621555,0,0,1,0,0,0
10,3.258096538021482,0.0,0.0,0,6.1527326947041034,7.6496926237115135,5.010635294096256,3.2958368660043287,0,0,0,1,0,0
11,3.828641396489095,0.0,0.0,1,6.309918278226516,6.363028103540465,3.7612001156935615,2.079441541679836,1,0,0,0,0,1
12,3.58351893845611,0.0,0.0,0,5.883322388488279,7.6496926237115135,4.248495242049359,3.2958368660043287,0,0,0,1,0,1
13,4.007333185232471,0.0,0.0,1,6.672032945461067,8.34283980427146,5.41164605185504,3.9889840465642745,0,0,0,1,0,0
14,4.605170185988092,0.6931471805599453,0.6931471805599453,2,6.802394763324312,8.382518288089635,2.8332133440562166,4.02535169073515,0,0,0,1,0,0
15,5.799092654460527,1.3862943611198906,1.791759469228055,6,6.522092798170153,8.987196820661973,5.793013608384143,4.795790545596741,1,0,0,0,0,0
16,4.700480365792417,0.6931471805599453,0.6931471805599453,1,6.551080335043403,8.006367567650246,4.804021044733257,3.6635616461296463,0,0,0,1,0,1
17,4.477336814478207,0.6931471805599453,1.0986122886681098,1,7.3864708488298945,8.160518247477505,5.3981627015177525,2.772588722239781,0,0,1,0,1,0
18,4.02535169073515,0.6931471805599453,0.0,0,6.684611727667928,7.106606137727303,4.8283137373023015,2.772588722239781,0,0,1,0,0,1
19,6.396929655216146,1.3862943611198906,1.6094379124341005,6,6.3279367837291955,9.392661928770137,9.159047077588633,5.198497031265826,0,0,0,1,0,1
20,4.605170185988092,1.9459101490553128,1.3862943611198906,0,6.3279367837291955,8.242756345714477,4.770684624465665,4.060443010546419,0,0,0,1,0,1
21,3.737669618283368,0.0,0.0,1,6.1527326947041034,7.897296472595885,5.147494476813453,3.58351893845611,0,0,0,0,1,0
22,5.0751738152338275,1.0986122886681098,0.6931471805599453,2,7.333023014386481,7.549609165154532,5.1179938124167546,3.218875824868201,0,0,0,1,0,0
23,3.555348061489413,0.0,0.0,0,6.3279367837291955,7.0030654587864625,1.0986122886681098,2.6390573296152584,0,0,0,1,0,1
24,4.499809670330264,1.0986122886681098,0.6931471805599453,1,6.684611727667928,7.495541943884256,4.770684624465665,3.1780538303479458,0,0,1,0,0,1
25,3.8918202981106265,0.0,0.0,1,6.173786103901937,8.160518247477505,3.737669618283368,3.80666248977032,0,0,0,1,0,1
26,3.7135720667043084,0.0,0.0,1,6.396929655216146,8.006367567650246,4.8283137373023015,3.6635616461296463,0,0,0,1,1,0
